,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
0,Abdallah Sima,"FW,MF",sn SEN,23.0,Brest,fr Ligue 1,1238,13.8,7,0,5.900000000000001,5.900000000000001,2,1.0,37,18,0.1891891891891892,0.3888888888888889,48.64864864864865,13.1,13,2.04,0.22,69.6,36,299,510,8,66,92,22,378,41,7,85.41666666666666,15,16,0.5072463768115941,0.42753623188405804,1.0999999999999988
4,Adam Hložek,"FW,MF",cz CZE,22.0,Hoffenheim,de Bundesliga,1871,20.8,8,0,5.6,5.6,4,3.4999999999999996,59,24,0.13559322033898305,0.3333333333333333,40.67796610169492,17.3,20,2.74,0.48,68.5,54,429,761,7,114,102,37,552,40,9,81.63265306122449,22,26,0.3846153846153846,0.2692307692307692,2.4000000000000004
7,Ademola Lookman,"MF,FW",ng NGA,27.0,Atalanta,it Serie A,2247,25.0,15,1,9.5,10.3,5,7.1,81,32,0.18518518518518517,0.46875,39.50617283950617,14.7,61,5.41,0.6,72.5,142,827,1274,8,199,316,51,974,17,8,68.0,32,35,0.6,0.41200000000000003,4.699999999999999
14,Alassane Pléa,"MF,FW",fr FRA,32.0,Gladbach,de Bundesliga,1902,21.1,11,1,6.599999999999999,7.4,4,3.1,41,12,0.2682926829268293,0.9166666666666666,29.268292682926827,15.199999999999998,25,3.41,0.66,72.1,51,601,979,5,77,141,22,773,15,9,62.5,7,9,0.5213270142180094,0.35071090047393366,3.5999999999999996
16,Albert Guðmundsson,"FW,MF",is ISL,27.0,Fiorentina,it Serie A,1273,14.1,6,2,3.1,4.7,1,1.8,25,13,0.24,0.46153846153846156,52.0,20.6,15,2.76,0.35,83.0,35,402,624,3,32,59,14,466,4,10,28.57142857142857,9,15,0.425531914893617,0.33333333333333337,1.2999999999999998
17,Alberto Moleiro,"FW,MF",es ESP,21.0,Las Palmas,es La Liga,2714,30.2,6,0,5.6,5.6,1,3.3,68,24,0.08823529411764706,0.25,35.294117647058826,19.0,41,3.52,0.2,81.3,97,946,1416,1,102,179,48,1097,5,30,14.285714285714285,27,45,0.19867549668874174,0.18543046357615894,0.40000000000000036
18,Alejandro Garnacho,"MF,FW",ar ARG,20.0,Manchester Utd,eng Premier League,2199,24.4,6,0,7.3,7.3,2,4.5,84,29,0.07142857142857142,0.20689655172413793,34.523809523809526,17.0,37,3.4,0.25,78.9,141,840,1159,13,176,290,48,888,3,25,10.714285714285714,30,43,0.24590163934426232,0.29918032786885246,-1.2999999999999998
23,Alex Baena,"MF,FW",es ESP,23.0,Villarreal,es La Liga,2595,28.8,7,0,6.3,7.1,9,11.7,69,17,0.10144927536231885,0.4117647058823529,24.637681159420293,21.0,95,5.86,0.73,66.6,91,895,1569,8,89,154,32,1044,16,29,35.55555555555556,28,50,0.24305555555555555,0.24652777777777776,-0.09999999999999964
24,Alex Iwobi,"FW,MF",ng NGA,29.0,Fulham,eng Premier League,2981,33.1,9,0,4.7,4.7,6,7.0,68,29,0.1323529411764706,0.3103448275862069,42.64705882352941,18.3,59,3.68,0.48,75.1,144,1312,1861,9,116,246,40,1447,7,12,36.84210526315789,44,58,0.2719033232628399,0.1419939577039275,4.3
26,Alexander Bernhardsson,"FW,MF",se SWE,26.0,Holstein Kiel,de Bundesliga,1263,14.0,7,0,4.1,4.1,2,1.3,27,14,0.25925925925925924,0.5,51.85185185185185,17.5,17,2.57,0.5,60.5,25,264,520,11,41,72,18,304,19,11,63.33333333333333,29,34,0.5,0.2928571428571428,2.9000000000000004
