,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
1,Abdallah Sima,"FW,MF",sn SEN,23.0,Brest,fr Ligue 1,1238,13.8,7,0,5.900000000000001,5.900000000000001,2,1.0,37,18,0.19,0.39,48.6,13.1,13,2.04,0.22,69.6,36,299,510,8,66,92,22,378,41,7,48.20000000000001,15,16
2,Abde Ezzalzouli,"FW,MF",ma MAR,23.0,Betis,es La Liga,1984,22.0,2,0,7.2,8.0,2,2.0,61,25,0.03,0.08,41.0,15.6,27,2.99,0.32,71.6,117,706,1081,4,151,215,50,797,26,12,41.3,37,44
9,Abel Ruiz,FW,es ESP,25.0,Girona,es La Liga,1346,15.0,4,1,3.0,4.6,0,0.5,21,7,0.14,0.43,33.3,14.0,8,1.14,0.07,87.9,21,225,391,2,59,71,18,281,9,3,32.1,6,11
10,Adam Armstrong,"FW,MF",eng ENG,28.0,Southampton,eng Premier League,1248,13.9,2,0,2.3,3.3,2,1.2,25,7,0.08,0.29,28.0,16.6,9,1.37,0.29,80.2,25,235,377,3,49,79,18,286,5,11,35.7,12,15
11,Adam Hložek,"FW,MF",cz CZE,22.0,Hoffenheim,de Bundesliga,1871,20.8,8,0,5.6,5.6,4,3.4999999999999996,59,24,0.14,0.33,40.7,17.3,20,2.74,0.48,68.5,54,429,761,7,114,102,37,552,40,9,50.6,22,26
12,Adama Boiro,"DF,FW",es ESP,22.0,Athletic Club,es La Liga,1101,12.2,0,0,0.3,0.3,0,0.5,5,0,0.0,,0.0,14.4,5,1.31,0.0,79.9,25,288,627,2,14,36,15,332,16,5,64.0,20,32
13,Adama Traoré,"FW,MF",es ESP,29.0,Fulham,eng Premier League,1772,19.7,2,0,4.0,4.0,7,4.9,39,12,0.05,0.17,30.8,14.2,42,4.16,0.51,72.2,100,538,801,5,91,161,25,607,25,8,49.0,20,21
14,Ademola Lookman,"MF,FW",ng NGA,27.0,Atalanta,it Serie A,2247,25.0,15,1,9.5,10.3,5,7.1,81,32,0.17,0.44,39.5,14.700000000000001,61,5.41,0.6,72.5,142,827,1274,8,199,316,51,974,17,8,56.7,32,35
16,Ado Onaiwu,"MF,FW",jp JPN,29.0,Auxerre,fr Ligue 1,957,10.6,4,0,4.0,4.0,1,1.1,23,14,0.17,0.29,60.9,13.9,10,2.63,0.09,73.3,17,268,458,3,30,74,22,346,37,10,58.7,11,14
17,Adri Embarba,"FW,MF",es ESP,33.0,Rayo Vallecano,es La Liga,1607,17.9,1,0,2.1,2.1,1,2.7,37,12,0.029999999999999995,0.08,32.4,22.1,20,2.58,0.11,63.89999999999999,47,467,847,7,44,114,24,527,13,29,28.300000000000004,41,54
